timestamp,distance,speed,throttle,brake
0.000000,0.000,0.00,0.0000,0.0000
0.000045,0.000,0.00,0.0000,0.0000
0.198994,0.000,0.00,0.0000,0.0000
0.199040,0.000,0.00,0.0000,0.0000
0.297293,0.000,0.00,0.0000,0.0000
0.452895,0.001,0.00,0.0000,0.0000
0.525500,0.001,0.00,0.0000,0.0000
0.592595,0.001,0.00,0.0000,0.0000
0.734019,0.001,0.00,0.0000,0.0000
0.819527,0.001,0.00,0.0000,0.0000
0.901076,0.001,0.00,0.0000,0.0000
1.004050,0.001,0.00,0.0000,0.0000
1.102499,0.001,0.00,0.0000,0.0000
1.219149,0.001,0.00,0.0000,0.0000
1.316948,0.001,0.00,0.0000,0.0000
1.404990,0.001,0.00,0.0000,0.0000
1.532406,0.001,0.00,0.0000,0.0000
1.591839,0.001,0.00,0.0000,0.0000
1.724339,0.001,0.00,0.0000,0.0000
1.724364,0.001,0.00,0.0000,0.0000
1.724368,0.001,0.00,0.0000,0.0000
1.724371,0.001,0.00,0.0000,0.0000
1.724374,0.001,0.00,0.0000,0.0000
1.724377,0.001,0.00,0.0000,0.0000
1.828075,0.002,0.00,0.0000,0.0000
1.828112,0.002,0.00,0.0000,0.0000
1.828117,0.002,0.00,0.0000,0.0000
1.828121,0.002,0.00,0.0000,0.0000
1.828125,0.002,0.00,0.0000,0.0000
1.914561,0.002,0.00,0.0000,0.0000
1.914573,0.002,0.00,0.0000,0.0000
1.914575,0.002,0.00,0.0000,0.0000
1.914578,0.002,0.00,0.0000,0.0000
1.914580,0.002,0.00,0.0000,0.0000
1.988261,0.002,0.00,0.0000,0.0000
1.988275,0.002,0.00,0.0000,0.0000
1.988278,0.002,0.00,0.0000,0.0000
1.988280,0.002,0.00,0.0000,0.0000
2.071682,0.002,0.00,0.0000,0.0000
2.071699,0.002,0.00,0.0000,0.0000
2.071703,0.002,0.00,0.0000,0.0000
2.071713,0.002,0.00,0.0000,0.0000
2.071716,0.002,0.00,0.0000,0.0000
2.208570,0.002,0.00,0.0000,0.0000
2.208595,0.002,0.00,0.0000,0.0000
2.208602,0.002,0.00,0.0000,0.0000
2.208606,0.002,0.00,0.0000,0.0000
2.208610,0.002,0.00,0.0000,0.0000
2.208613,0.002,0.00,0.0000,0.0000
2.208617,0.002,0.00,0.0000,0.0000
2.208620,0.002,0.00,0.0000,0.0000
2.308288,0.002,0.00,0.0000,0.0000
2.308300,0.002,0.00,0.0000,0.0000
2.308310,0.002,0.00,0.0000,0.0000
2.308312,0.002,0.00,0.0000,0.0000
2.308313,0.002,0.00,0.0000,0.0000
2.308315,0.002,0.00,0.0000,0.0000
2.392622,0.002,0.00,0.0000,0.0000
2.392635,0.002,0.00,0.0000,0.0000
2.392638,0.002,0.00,0.0000,0.0000
2.392640,0.002,0.00,0.0000,0.0000
2.392642,0.002,0.00,0.0000,0.0000
2.484387,0.002,0.00,0.0000,0.0000
2.484421,0.002,0.00,0.0000,0.0000
2.484424,0.002,0.00,0.0000,0.0000
2.484434,0.002,0.00,0.0000,0.0000
2.484437,0.002,0.00,0.0000,0.0000
2.484439,0.002,0.00,0.0000,0.0000
2.568287,0.002,0.00,0.0000,0.0000
2.568305,0.002,0.00,0.0000,0.0000
2.568309,0.002,0.00,0.0000,0.0000
2.568311,0.002,0.00,0.0000,0.0000
2.568313,0.002,0.00,0.0000,0.0000
2.703567,0.002,0.00,0.0000,0.0000
2.703591,0.002,0.00,0.0000,0.0000
2.703600,0.002,0.00,0.0000,0.0000
2.703604,0.002,0.00,0.0000,0.0000
2.703622,0.002,0.00,0.0000,0.0000
2.703625,0.002,0.00,0.0000,0.0000
2.703629,0.002,0.00,0.0000,0.0000
2.779758,0.002,0.00,0.0000,0.0000
2.779774,0.002,0.00,0.0000,0.0000
2.779779,0.002,0.00,0.0000,0.0000
2.779784,0.002,0.00,0.0000,0.0000
2.779787,0.002,0.00,0.0000,0.0000
2.856985,0.002,0.00,0.0000,0.0000
2.856998,0.002,0.00,0.0000,0.0000
2.857001,0.002,0.00,0.0000,0.0000
2.857003,0.002,0.00,0.0000,0.0000
2.932953,0.003,0.00,0.0000,0.0000
2.932969,0.003,0.00,0.0000,0.0000
2.932971,0.003,0.00,0.0000,0.0000
2.932973,0.003,0.00,0.0000,0.0000
2.932982,0.003,0.00,0.0000,0.0000
