timestamp,distance,speed,throttle,brake
0.000000,0.000,0.00,0.0000,0.0000
0.096397,0.000,0.00,0.0000,0.0000
0.178626,0.000,0.00,0.0000,0.0000
0.259221,0.000,0.00,0.0000,0.0000
0.336032,0.000,0.00,0.0000,0.0000
0.422650,0.000,0.00,0.0000,0.0000
0.510024,0.000,0.00,0.0000,0.0000
0.608869,0.001,0.00,0.0000,0.0000
0.732944,0.001,0.00,0.0000,0.0000
0.833478,0.001,0.00,0.0000,0.0000
0.921490,0.001,0.00,0.0000,0.0000
1.008722,0.001,0.00,0.0000,0.0000
1.125678,0.001,0.00,0.0000,0.0000
1.219419,0.001,0.00,0.0000,0.0000
1.338228,0.001,0.00,0.0000,0.0000
1.431407,0.001,0.00,0.0000,0.0000
1.549159,0.001,0.00,0.0000,0.0000
1.624116,0.002,0.00,0.0000,0.0000
1.719696,0.002,0.00,0.0000,0.0000
1.811015,0.002,0.00,0.0000,0.0000
1.910283,0.002,0.00,0.0000,0.0000
2.022341,0.002,0.00,0.0000,0.0000
2.110298,0.002,0.00,0.0000,0.0000
2.234508,0.002,0.00,0.0000,0.0000
2.325463,0.002,0.00,0.0000,0.0000
2.477408,0.002,0.00,0.0000,0.0000
2.531707,0.002,0.00,0.0000,0.0000
2.620045,0.003,0.00,0.0000,0.0000
2.725020,0.003,0.00,0.0000,0.0000
2.816658,0.003,0.00,0.0000,0.0000
2.918743,0.003,0.00,0.0000,0.0000
3.007572,0.003,0.00,0.0000,0.0000
3.114330,0.003,0.00,0.0000,0.0000
3.208389,0.003,0.00,0.0000,0.0000
3.337752,0.003,0.00,0.0000,0.0000
3.438717,0.004,0.00,0.0000,0.0000
3.534551,0.004,0.00,0.0000,0.0000
3.635320,0.004,0.00,0.0000,0.0000
3.736935,0.004,0.00,0.0000,0.0000
3.836505,0.004,0.00,0.0000,0.0000
3.928591,0.004,0.00,0.0000,0.0000
4.042337,0.004,0.00,0.0000,0.0000
4.112068,0.004,0.00,0.0000,0.0000
4.224094,0.004,0.00,0.0000,0.0000
4.338717,0.004,0.00,0.0000,0.0000
4.444220,0.004,0.00,0.0000,0.0000
4.506286,0.005,0.00,0.0000,0.0000
4.627644,0.005,0.00,0.0000,0.0000
4.737272,0.005,0.00,0.0000,0.0000
4.817901,0.005,0.00,0.0000,0.0000
4.909599,0.005,0.00,0.0000,0.0000
5.035291,0.005,0.00,0.0000,0.0000
5.161682,0.005,0.00,0.0000,0.0000
5.233125,0.005,0.00,0.0000,0.0000
5.372764,0.005,0.00,0.0000,0.0000
5.435280,0.005,0.00,0.0000,0.0000
5.527517,0.005,0.00,0.0000,0.0000
5.619955,0.005,0.00,0.0000,0.0000
5.683233,0.006,0.00,0.0000,0.0000
5.683248,0.006,0.00,0.0000,0.0000
5.683251,0.006,0.00,0.0000,0.0000
5.683253,0.006,0.00,0.0000,0.0000
5.815139,0.006,0.00,0.0000,0.0000
5.815160,0.006,0.00,0.0000,0.0000
5.815166,0.006,0.00,0.0000,0.0000
5.815177,0.006,0.00,0.0000,0.0000
5.815182,0.006,0.00,0.0000,0.0000
5.815188,0.006,0.00,0.0000,0.0000
5.891616,0.006,0.00,0.0000,0.0000
5.891628,0.006,0.00,0.0000,0.0000
5.891630,0.006,0.00,0.0000,0.0000
5.891633,0.006,0.00,0.0000,0.0000
5.976471,0.006,0.00,0.0000,0.0000
5.976489,0.006,0.00,0.0000,0.0000
5.976493,0.006,0.00,0.0000,0.0000
5.976495,0.006,0.00,0.0000,0.0000
6.054900,0.006,0.00,0.0000,0.0000
6.054937,0.006,0.00,0.0000,0.0000
6.054942,0.006,0.00,0.0000,0.0000
6.054947,0.006,0.00,0.0000,0.0000
6.054951,0.006,0.00,0.0000,0.0000
